The bottleneck is access, not telescope capacity.|All telescopes sat idle while every observer waited for the single roof key.|Interprets the shared limiting resource.
The catalog hides the collection's strongest connection.|Related sketches are shelved under three unrelated donor names; the retrospective narrative depends on their sequence.|Synthesizes catalog structure and meaning.
Repairability is what the cheaper quotation leaves out.|Both quotes cover identical chairs; only the higher quote includes replaceable joints and spare parts.|Draws a value implication from specified differences.
The return shelf functions as an unofficial recommendation display.|Visitors repeatedly borrow books directly from returns rather than following the printed reading list.|Interprets a use pattern beyond reporting it.
The apparent surplus belongs to a different season.|Stored seed is ample by weight, but all remaining varieties require autumn sowing and the request is for spring.|Interprets why inventory does not imply availability.
The archive's gap is in discovery, not preservation.|The missing-looking letters are intact in storage but absent from the finding aid.|Synthesizes evidence into an access distinction.
The quiet room is carrying the overflow of the noisy one.|Visitors seeking conversation move next door when the discussion room reaches capacity; both rooms are nominally quiet spaces.|Interprets cross-room usage.
Our timetable offers departures without usable connections.|The last feeder boat arrives after every mainland bus has left.|Interprets the relationship between schedules.
The price comparison is really a comparison of service boundaries.|One kiln rental includes setup and cleaning; the other charges for the firing interval alone.|Identifies the dimension masked by headline prices.
The backup is independent in name only.|Both copies of the map occupy the same flood-prone cabinet.|Derives a resilience limitation.
A larger waiting area would treat the visible queue, not the shared constraint.|Ticket holders at both doors must pass one inspection desk that stays occupied throughout opening.|Interprets queue evidence as a common constraint.
The difficult part of this handoff is identifying the next custodian.|Each restorer finishes on time; completed objects wait days with no named recipient.|Locates the process gap from the pattern.
The bilingual signs provide translation without navigation parity.|Both languages describe exhibits, but only one language marks exits and room numbers.|Synthesizes an unequal functional experience.
The membership total overstates the number of independent donors.|Most new memberships are additional cards purchased by existing households.|Derives meaning of the count.
The empty seats are inaccessible capacity.|All unoccupied seats require stairs; every ground-floor seat is occupied by visitors unable to climb.|Interprets spare capacity in context.
The workshop's scrap pile is also its undocumented parts library.|Repairs repeatedly draw correctly sized offcuts from bins labeled waste.|Reinterprets observed material use.
The resilient feature is the overlap between roles.|The exhibition opened during two absences because every required task had a second trained person.|Synthesizes coverage into operational meaning.
The map's blank area marks a reporting gap, not demonstrated absence.|Only surveyed villages have markers; the unmarked valley has never been surveyed.|Separates missing evidence from negative evidence.
This apparent agreement depends on counting silence as assent.|Minutes say unanimous, but only two members spoke and no vote was taken.|Interprets the basis of an agreement claim.
The useful unit of planning is a household trip, not an individual ticket.|Families arrive together but the ferry booking interface distributes their seats across sailings.|Derives a planning implication.
Our standard size excludes the equipment people actually bring.|Loan lockers fit the institution's cases; most borrowers arrive with wider mobility equipment.|Interprets mismatch beyond measured dimensions.
The reserve stock cannot insure against this particular outage.|Stored replacement lights use the same discontinued connector that caused the current installation to stop.|Derives a coverage limitation.
The visitor's journey crosses a boundary our departmental reports hide.|Each desk meets its own time target while visitors repeatedly wait between desks.|Synthesizes local metrics versus total journey.
The recovered space is being paid for with search time.|After labels were removed to fit more boxes, staff open several boxes for each requested item.|Interprets a tradeoff without claiming proof of causation.
The collection is diverse by origin but narrow by perspective.|Objects come from many countries; nearly all were selected by the same expedition leader.|Synthesizes two different diversity dimensions.
The discount rewards storage capacity as much as demand.|Only orders exceeding a season's use receive the bulk price, and several studios cannot store that volume.|Derives unequal practical access.
The schedule has redundancy in people but none in equipment.|Two trained projectionists are available for every showing; both depend on one projector.|Interprets resilience across resource types.
Our lost-and-found log also reveals where visitors must put things down.|Most recovered bags originate at entrances requiring both hands to open the doors.|Derives a use-related meaning from locations.
The policy describes equality of duration, not equality of opportunity.|Every musician receives ten minutes, including the time needed to carry and tune large instruments.|Interprets what the policy actually equalizes.
The apparent extra route offers no extra destination access.|Both ferry lines terminate at the same closed pier.|Derives the limit of nominal alternatives.
This is a vocabulary gap between the label and the task.|Visitors ask for a cloakroom while the only sign names the same facility a garment repository.|Synthesizes language mismatch.
The attendance average conceals two different experiences.|Half the sessions are full and half empty; none has attendance near the average.|Interprets the distribution rather than restating a value.
We are preserving the object while losing its operating knowledge.|Machines remain intact, but the only technicians who know the undocumented setup are retiring.|Synthesizes material and knowledge preservation.
The display makes authorship easier to see than collaboration.|Every panel names the painter but omits the documented studio assistants.|Interprets a curatorial emphasis.
The approval stamp is being used as a substitute for version identity.|Readers cite the same approval date for maps with different route markings.|Interprets how evidence is being used.
